original_index,comment,label,predicted_label,is_correct,model_used
0,غذا خیلی سرد بود در صورتیکه فاصله ما خیلی کم است,SAD,SAD,True,gpt-4o
1,بهتره بتونیم ران یا سینه رو خودمون انتخاب کنیم,HAPPY,SAD,False,gpt-4o
2,غذا بد بود حالم خیییییلی بده. دل دردو دل پیچه. معلوم نیست چی توش ریختن. افتضاااااااااح بود. دوساعته ک حالم بده.,SAD,SAD,True,gpt-4o
3,با سلام سابق بر این بسته بندی از کیفیت بهتری برخوردار بود. ولی در حال حاضر ایراداتی وجود داره. به طور نمونه نوشابه قوطی فاقد نی هست، چنگال برای سرو سیب زمینی نداره، دستمال کاغذی هم در بسته بندی نیست.,SAD,SAD,True,gpt-4o
4,سلام، خیلی ممنون و متشکرم,HAPPY,HAPPY,True,gpt-4o
5,خیلی زود رسید و ممنون م ازشون,HAPPY,HAPPY,True,gpt-4o
6,مواد پیتزا بسیااار کم بود با اینکه قیمت اصلا پایین نیست. ولی کلا طعم پیتزا خوب و تازه بود,HAPPY,SAD,False,gpt-4o
7,کیفیت زیاد خوب نبود،,HAPPY,SAD,False,gpt-4o
8,مرغی که واسه ما آوردن بو میداد انگار که مونده بود!,SAD,SAD,True,gpt-4o
9,همه چی خوب بود. ولی اگه تخفیف نداشتم اصلا خرید نمی‌کردم چون گرونه برام:),HAPPY,HAPPY,True,gpt-4o
10,اصلا خوب نبود و اصلا مخلفات نداشت خمیر خمیر بود من راضی نبودم,SAD,SAD,True,gpt-4o
11,غذا بسیار لذیذ با طعمی فوق العاده بود جوجه بسیار خوشمزه و کباب بینظیر بود. فقط برنج کمی شفته شده بود که مزه غذا این کمیت رو از بین برد و مزه را بینظیر نشون داد سوپ بحدی عالی بود که خیلی دوست داشتم بازم بخرم و بخورم. خواهشا تو منوتون سوپ یک کیلویی هم بزارید. از مدیر محترم و کارکنان عزیز غنچه سپاسگزارم,HAPPY,HAPPY,True,gpt-4o
12,تحویل اسنپ فود بسیار دیر و غذا سرد شده بود، اصلا از دلیوری راضی نبودم,SAD,SAD,True,gpt-4o
13,فکر نمی‌کردم برندی مثل رفتاری هم بتونه غذای افتضاح آماده کنه. سوپ مزخرف، کته مزخرف، خورشت مزخرف، حتی سالاد شیرازی بدون هیچ آبلیمویی. واقعا برای اسم این برند متاسفم,SAD,SAD,True,gpt-4o
14,کیفیت پایین‌تر از پایین، در حد یه ساندویچ ۸-۹ تومنی بود!,SAD,SAD,True,gpt-4o
15,داغ و تازه و خوش عطر به دستم رسید. ازتون خواسته بودم که نان‌ها رو برش نزنین، ممنونم که توجه کردین,HAPPY,HAPPY,True,gpt-4o
16,درخواست آب مرغ داده بودم که در نظر گرفته نشد نسبت به قیمت لااقل باید این موارد درخواستی مشتری منظور بشه,HAPPY,SAD,False,gpt-4o
17,من سفارش نانه خامه‌ای دادم (ساده) اما شکلاتی اوردن,SAD,SAD,True,gpt-4o
18,بیشتر پیتزا خمیر و پنیر بود بجای مخلفات. سس هم نذاشته بودن!,SAD,SAD,True,gpt-4o
19,مثل همیشه سریع ودقیق,HAPPY,HAPPY,True,gpt-4o
20,همه چی خوب بود فقط روغن جامد علاوه بر مغایر بودن نوع روغن قیمتش هم مشخص نبود قیمت خط زده بودن,HAPPY,SAD,False,gpt-4o
21,هم سفارش زود رسید به دستمون هم غذاها واقعا خوشمزه و عالی بودن. به بقیه دوستان هم توصیه میکنم غذاهاشونو,HAPPY,HAPPY,True,gpt-4o
22,غذای با کیفیتی بود، ولی حجم ب نجش خیلی کم بود,HAPPY,SAD,False,gpt-4o
23,بلک فارست هیچ شباهت ظاهری با تصویر موجود در منو نداشت و البته کیفیت پایینی هم داشت. موس شکلات گویا توت فرنگی روش برای اینکه داخل جعبه قرارداده بشه برداشته شده بود چون یه جایی روی کیک بود که خالی بود معلوم بود توت فرنگی رو برداشتن. کیک پای سیب عالی بود.,SAD,SAD,True,gpt-4o
24,خوب بود فقط خیلی بی نمک بود و ادویه نداشت,HAPPY,SAD,False,gpt-4o
25,همیشه راضی بودم …اما ایندفعه پیتزا کهنه و مونده به نظر می‌رسید,SAD,SAD,True,gpt-4o
26,راد عزیز، متأسفانه دقت قبل در ارسال سفارش دیده نمیشه و الان ۲ روز پشت سرهم سفارش برای من ناقص ارسال میشه. لطفا اگر اقلامی هم احینا دیگه موجود ندارین اعلام کنید شاید بخواهیم مورد دیگری جایگزین کنید و این منطقی هست که اعلام بشه و به مشتری احترام گذاشته بشه وگرنه خوب میشه از شعب دیگر هم سفارش داد.,SAD,SAD,True,gpt-4o
27,کوکتل آرژانتینی بخاطر آب پز بودن خیلی دوست داشتم,HAPPY,HAPPY,True,gpt-4o
28,غذای معمولی ای بود. تاپ-ن-ود، در حد پولش. ولی سیب زمینی سرخ کرده هایش عالی بود در هر صورت ممنون,HAPPY,HAPPY,True,gpt-4o
29,اصلا فکر نمیکردم به این شدت غذا و کیفیتش پایین باشه، واقعا متاسفم، همه‌ی مواد بسیار بی کیفیت و بد مززه، من که هرروز فست فود میخورم دیگه از ۱ کیلومتری باروژ ام رد نمیشم,SAD,SAD,True,gpt-4o
30,سفارش منو یه چیز دیگه فرستادین کلا. وقتی یه چیزی رو موجود ندارین مجبور نیستین اسمشو بزنین که بعد یه چیز دیگه جاش بزارید.,SAD,SAD,True,gpt-4o
31,کلا یه چیزای دیگه ارسال کردند,SAD,SAD,True,gpt-4o
32,خوب و خوشمزه. فقط یه کم کوچیک بود مرغش.,HAPPY,HAPPY,True,gpt-4o
33,کیفیت بسیار بد!!! من ساندویچ ژامبون ویژه سفارش دادم وسیب زمینی سوخاری متاسفانه کیفیت هردو بسیار پایین بود ژامبون بی کیفیت مواد اصلی ساندویچ! سیب زمینی هم سبز کرده، بسیار بد رنگ وچرب به طوریکه روغن کف ظرف کاغذیو گرفته بود. غذا هم سرد به دستم رسید، به جز ٣ تا سس قرمز هیچ چیزی همراهش نبود، نه سس دیگ ای، نه نمک وفلفل … به طور کلی بسیار ضعیف وبی کیفیت …,SAD,SAD,True,gpt-4o
34,شیرینی ناپلئونی خیلی معمولی بود و مزه ناپلئونی نداشت! و شیرینی زبان خشک و بی مزه بود … که کلا شیرینی زبان رو ریخیتم دور! من مشتریتونم ولی لطفا کمی کیفیت رو هم بهبود بدین، ممنون!,SAD,SAD,True,gpt-4o
35,متاسفانه یکی از آیتم‌ها موجود نبود که پشتیبانی اطلاع داد و از فاکتور حذف شد,SAD,HAPPY,False,gpt-4o
36,چیکن ناندوز را قبلا سفارش داده بودم، هم نوع مرغ متفاوت بود و هم تندی بسیار مناسب و خوش طعمی داشت. اما متاسفانه این بار اصلا خوب نبود و تندی بیش از حدی داشت که غیر قابل خوردن بود. امریکن برگر هم متاسفانه مزه کباب دیگی میداد.,SAD,SAD,True,gpt-4o
37,من انتخابم همیشه سومر مارکت طاهر هست و اجناس همیشه تازه و به روزن,HAPPY,HAPPY,True,gpt-4o
38,غذا بعد از ۱ ساعت و نیم با رفتار طلبکارانه پیک یخ کرده و لیچ افتاده. کمترین کاری که میشه کرد سفارش ندادن از دفعات بعدیه …! که البته اگه برای مدیریت مهم بود مدیریت میکرد این بی نظمیو بی کیفیتیو.,SAD,SAD,True,gpt-4o
39,بسیار عالی. کاملا راضی بودم. غذا به موقع رسید و بسیار خوشمزه بود. با تشکر,HAPPY,HAPPY,True,gpt-4o
40,نان عالیییی. ولی تاخیر خیلی خیلی زیاد,HAPPY,SAD,False,gpt-4o
41,اصلا انتظار نداشتم انقدر بدمزه باشه. کوکی که انگار دوهفتس تو یخچال مامانبزرگم مونده. ناپل اونی ام انگار لای چندتا نون لواش ی لایه نازک خامه زدی. من همیشه ازینجا رولت میگیرفتم عالی بود. ولی احتمالا دیگه ازینجا خرید نمیکنم.,SAD,SAD,True,gpt-4o
42,یک ساعت و نیم منتظر بودیم,SAD,SAD,True,gpt-4o
43,قوطی نوشابه همراه غذا به دلیل فشرده شدن سوراخ شده بود و کمی از نوشابه بیرون ریخته بود لطفا تذکر دهید,HAPPY,SAD,False,gpt-4o
44,بسته بندی ساندویچ‌ها به شدت بی کیفیت و ابتدایی بود، به طوری که بجای اینکه ساندویچی که این همه پنیر پیتزا درش بکار رفته رو در یک ظرف بگذارند تا بهش فشار نیاد و نونش له نشه، رو انداخته بودند توی یک پلاستیکه نامناسب. هم ساندویچ‌ها له شده بود و هم مواد داخلش بیرون ریخته بود. ما که با کارد و چنگال خوردیم. کیفیت مهمتر از کمیت هست..,SAD,SAD,True,gpt-4o
45,لیموترش‌ها خیلی تازه نبودن,HAPPY,SAD,False,gpt-4o
46,مرسی از توجه به توضیحات، نون‌ها عالی و برشته.,HAPPY,HAPPY,True,gpt-4o
47,غذا بد بود و بی کیفت,SAD,SAD,True,gpt-4o
48,کیفیت غذا مناسب هزینه پیک بالا,HAPPY,SAD,False,gpt-4o
49,موزش کم بود و خیلی دیر رشید دستمون. همش زمانش اضافه میشد ولی طعم خیلی خوبی داشت,HAPPY,SAD,False,gpt-4o
50,گوجه‌فرنگی کنار کباب سوخته بود بقیه بخصوص جوجه خوب بود,HAPPY,SAD,False,gpt-4o
51,پیتزا مخلوط یه پیتزای کاملا عادی و طعم نه چندان مورد سلیقه من. فکر میکنم بشه از پنیر خوش طعم‌تری استفاده کرد.,SAD,SAD,True,gpt-4o
52,خیلی ابتدایی، بی مزه و بد بود. اصلا توصیه نمی‌کنم.,SAD,SAD,True,gpt-4o
53,میتونید جوری بسته بندی کنید که اقلام سفارشی بهم فشرده نباشند که از ۹ عدد تخم مرغ ۳ تا شکستت برسه به دست مشتری,HAPPY,SAD,False,gpt-4o
54,زمان تحویل عالی و سریع بود. برخورد نفر پیک رضایت کامل بود. کیفیت برنج خوب و کبابش مععععمولی,HAPPY,SAD,False,gpt-4o
55,به نسبت قبل کیفیت کمتر شده محتویات هم کمتر شده و با توجه به قیمتش دیگه بصرفه نیست برش قطعات رو هم بزرگ‌تر کردن و مثل قبل کوچک نیست,SAD,SAD,True,gpt-4o
56,بسته بندی تمیز کیفیت محصولات هم بسیار خوب. لطفا در صورت امکان منو میوه تنوع بیشتری داشته باشد امروز چون موز تو منو نبود از سوپر میوه‌های دیگه اسنپ فود خرید کردم اصلا کیفیت مناسبی نداشت و واقعا تعهد و کیفیت سبزی من بسیار عالی و غیر قابل مقایسه است,HAPPY,HAPPY,True,gpt-4o
57,غذا کاملا سرد رسید با اینکه فاصله خیلی کم بود! و اینکه بال کاملا قسمت سوخاریش خمیر شده بود,SAD,SAD,True,gpt-4o
58,خداییش دستتون درد نکنه نسبت به قیمت عاااااالی بود,HAPPY,HAPPY,True,gpt-4o
59,واسه ۱دونه پیتزا ۲ساعت تاخیر غیرقابل قبول میباشد باگت عزیز اگر ظرفیت تحویل غذا را در ساعات پیک ندارید سفارش نگیرید لطفا,SAD,SAD,True,gpt-4o
