original_index,predicted_label,model_used
0,SAD,gpt-4o
1,SAD,gpt-4o
2,SAD,gpt-4o
3,SAD,gpt-4o
4,HAPPY,gpt-4o
5,HAPPY,gpt-4o
6,SAD,gpt-4o
7,SAD,gpt-4o
8,SAD,gpt-4o
9,HAPPY,gpt-4o
10,SAD,gpt-4o
11,HAPPY,gpt-4o
12,SAD,gpt-4o
13,SAD,gpt-4o
14,SAD,gpt-4o
15,HAPPY,gpt-4o
16,SAD,gpt-4o
17,SAD,gpt-4o
18,SAD,gpt-4o
19,HAPPY,gpt-4o
20,SAD,gpt-4o
21,HAPPY,gpt-4o
22,SAD,gpt-4o
23,SAD,gpt-4o
24,SAD,gpt-4o
25,SAD,gpt-4o
26,SAD,gpt-4o
27,HAPPY,gpt-4o
28,HAPPY,gpt-4o
29,SAD,gpt-4o
30,SAD,gpt-4o
31,SAD,gpt-4o
32,HAPPY,gpt-4o
33,SAD,gpt-4o
34,SAD,gpt-4o
35,HAPPY,gpt-4o
36,SAD,gpt-4o
37,HAPPY,gpt-4o
38,SAD,gpt-4o
39,HAPPY,gpt-4o
40,SAD,gpt-4o
41,SAD,gpt-4o
42,SAD,gpt-4o
43,SAD,gpt-4o
44,SAD,gpt-4o
45,SAD,gpt-4o
46,HAPPY,gpt-4o
47,SAD,gpt-4o
48,SAD,gpt-4o
49,SAD,gpt-4o
50,SAD,gpt-4o
51,SAD,gpt-4o
52,SAD,gpt-4o
53,SAD,gpt-4o
54,SAD,gpt-4o
55,SAD,gpt-4o
56,HAPPY,gpt-4o
57,SAD,gpt-4o
58,HAPPY,gpt-4o
59,SAD,gpt-4o
60,HAPPY,gpt-4o
61,SAD,gpt-4o
62,SAD,gpt-4o
63,SAD,gpt-4o
64,HAPPY,gpt-4o
65,SAD,gpt-4o
66,SAD,gpt-4o
67,HAPPY,gpt-4o
68,SAD,gpt-4o
69,SAD,gpt-4o
70,SAD,gpt-4o
71,SAD,gpt-4o
72,HAPPY,gpt-4o
73,SAD,gpt-4o
74,SAD,gpt-4o
75,SAD,gpt-4o
76,SAD,gpt-4o
77,SAD,gpt-4o
78,SAD,gpt-4o
79,SAD,gpt-4o
80,HAPPY,gpt-4o
81,HAPPY,gpt-4o
82,SAD,gpt-4o
83,HAPPY,gpt-4o
84,SAD,gpt-4o
85,HAPPY,gpt-4o
86,SAD,gpt-4o
87,SAD,gpt-4o
88,SAD,gpt-4o
89,HAPPY,gpt-4o
90,SAD,gpt-4o
91,SAD,gpt-4o
92,SAD,gpt-4o
93,SAD,gpt-4o
94,HAPPY,gpt-4o
95,SAD,gpt-4o
96,SAD,gpt-4o
97,HAPPY,gpt-4o
98,SAD,gpt-4o
99,HAPPY,gpt-4o
100,SAD,gpt-4o
101,SAD,gpt-4o
102,HAPPY,gpt-4o
103,SAD,gpt-4o
104,SAD,gpt-4o
105,SAD,gpt-4o
106,SAD,gpt-4o
107,SAD,gpt-4o
108,HAPPY,gpt-4o
109,HAPPY,gpt-4o
110,SAD,gpt-4o
111,SAD,gpt-4o
112,HAPPY,gpt-4o
113,HAPPY,gpt-4o
114,SAD,gpt-4o
115,HAPPY,gpt-4o
116,SAD,gpt-4o
117,SAD,gpt-4o
118,SAD,gpt-4o
119,SAD,gpt-4o
120,SAD,gpt-4o
121,HAPPY,gpt-4o
122,SAD,gpt-4o
123,SAD,gpt-4o
124,SAD,gpt-4o
125,SAD,gpt-4o
126,SAD,gpt-4o
127,HAPPY,gpt-4o
128,HAPPY,gpt-4o
129,SAD,gpt-4o
130,SAD,gpt-4o
131,SAD,gpt-4o
132,HAPPY,gpt-4o
133,HAPPY,gpt-4o
134,SAD,gpt-4o
135,SAD,gpt-4o
136,HAPPY,gpt-4o
137,HAPPY,gpt-4o
138,SAD,gpt-4o
139,HAPPY,gpt-4o
140,SAD,gpt-4o
141,SAD,gpt-4o
142,HAPPY,gpt-4o
143,SAD,gpt-4o
144,HAPPY,gpt-4o
145,SAD,gpt-4o
146,SAD,gpt-4o
147,SAD,gpt-4o
148,HAPPY,gpt-4o
149,HAPPY,gpt-4o
150,SAD,gpt-4o
151,SAD,gpt-4o
152,HAPPY,gpt-4o
153,SAD,gpt-4o
154,SAD,gpt-4o
155,SAD,gpt-4o
156,HAPPY,gpt-4o
157,HAPPY,gpt-4o
158,SAD,gpt-4o
159,HAPPY,gpt-4o
160,HAPPY,gpt-4o
161,SAD,gpt-4o
162,SAD,gpt-4o
163,SAD,gpt-4o
164,SAD,gpt-4o
165,SAD,gpt-4o
166,SAD,gpt-4o
167,SAD,gpt-4o
168,HAPPY,gpt-4o
169,SAD,gpt-4o
170,SAD,gpt-4o
171,HAPPY,gpt-4o
172,SAD,gpt-4o
173,SAD,gpt-4o
174,SAD,gpt-4o
175,SAD,gpt-4o
176,HAPPY,gpt-4o
177,SAD,gpt-4o
178,HAPPY,gpt-4o
179,SAD,gpt-4o
180,SAD,gpt-4o
181,SAD,gpt-4o
182,SAD,gpt-4o
183,SAD,gpt-4o
184,SAD,gpt-4o
185,SAD,gpt-4o
186,SAD,gpt-4o
187,SAD,gpt-4o
188,HAPPY,gpt-4o
189,SAD,gpt-4o
190,HAPPY,gpt-4o
191,HAPPY,gpt-4o
192,HAPPY,gpt-4o
193,HAPPY,gpt-4o
194,SAD,gpt-4o
195,SAD,gpt-4o
196,SAD,gpt-4o
197,SAD,gpt-4o
198,SAD,gpt-4o
199,SAD,gpt-4o
200,SAD,gpt-4o
201,SAD,gpt-4o
202,SAD,gpt-4o
203,SAD,gpt-4o
204,HAPPY,gpt-4o
205,SAD,gpt-4o
206,SAD,gpt-4o
207,SAD,gpt-4o
208,SAD,gpt-4o
209,SAD,gpt-4o
210,HAPPY,gpt-4o
211,SAD,gpt-4o
212,SAD,gpt-4o
213,SAD,gpt-4o
214,SAD,gpt-4o
215,HAPPY,gpt-4o
216,SAD,gpt-4o
217,SAD,gpt-4o
218,SAD,gpt-4o
219,SAD,gpt-4o
220,SAD,gpt-4o
221,HAPPY,gpt-4o
222,HAPPY,gpt-4o
223,SAD,gpt-4o
224,SAD,gpt-4o
225,SAD,gpt-4o
226,SAD,gpt-4o
227,SAD,gpt-4o
228,SAD,gpt-4o
229,SAD,gpt-4o
230,SAD,gpt-4o
231,SAD,gpt-4o
232,HAPPY,gpt-4o
233,HAPPY,gpt-4o
234,HAPPY,gpt-4o
235,SAD,gpt-4o
236,HAPPY,gpt-4o
237,HAPPY,gpt-4o
238,HAPPY,gpt-4o
239,SAD,gpt-4o
240,SAD,gpt-4o
241,SAD,gpt-4o
242,SAD,gpt-4o
243,HAPPY,gpt-4o
244,SAD,gpt-4o
245,SAD,gpt-4o
246,HAPPY,gpt-4o
247,SAD,gpt-4o
248,SAD,gpt-4o
249,HAPPY,gpt-4o
250,HAPPY,gpt-4o
251,SAD,gpt-4o
252,SAD,gpt-4o
253,SAD,gpt-4o
254,SAD,gpt-4o
255,HAPPY,gpt-4o
256,SAD,gpt-4o
257,SAD,gpt-4o
258,SAD,gpt-4o
259,SAD,gpt-4o
260,SAD,gpt-4o
261,HAPPY,gpt-4o
262,SAD,gpt-4o
263,SAD,gpt-4o
264,SAD,gpt-4o
265,HAPPY,gpt-4o
266,SAD,gpt-4o
267,SAD,gpt-4o
268,HAPPY,gpt-4o
269,SAD,gpt-4o
270,SAD,gpt-4o
271,SAD,gpt-4o
272,SAD,gpt-4o
273,SAD,gpt-4o
274,SAD,gpt-4o
275,HAPPY,gpt-4o
276,SAD,gpt-4o
277,HAPPY,gpt-4o
278,SAD,gpt-4o
279,HAPPY,gpt-4o
280,HAPPY,gpt-4o
281,HAPPY,gpt-4o
282,SAD,gpt-4o
283,HAPPY,gpt-4o
284,SAD,gpt-4o
285,HAPPY,gpt-4o
286,SAD,gpt-4o
287,SAD,gpt-4o
288,SAD,gpt-4o
289,HAPPY,gpt-4o
290,SAD,gpt-4o
291,SAD,gpt-4o
292,SAD,gpt-4o
293,SAD,gpt-4o
294,HAPPY,gpt-4o
295,HAPPY,gpt-4o
296,SAD,gpt-4o
297,SAD,gpt-4o
298,SAD,gpt-4o
299,HAPPY,gpt-4o
300,HAPPY,gpt-4o
301,SAD,gpt-4o
302,SAD,gpt-4o
303,SAD,gpt-4o
304,SAD,gpt-4o
305,SAD,gpt-4o
306,SAD,gpt-4o
307,SAD,gpt-4o
308,HAPPY,gpt-4o
309,SAD,gpt-4o
310,SAD,gpt-4o
311,SAD,gpt-4o
312,SAD,gpt-4o
313,HAPPY,gpt-4o
314,HAPPY,gpt-4o
315,HAPPY,gpt-4o
316,SAD,gpt-4o
317,SAD,gpt-4o
318,SAD,gpt-4o
319,SAD,gpt-4o
320,HAPPY,gpt-4o
321,SAD,gpt-4o
322,SAD,gpt-4o
323,SAD,gpt-4o
324,SAD,gpt-4o
325,SAD,gpt-4o
326,SAD,gpt-4o
327,SAD,gpt-4o
328,SAD,gpt-4o
329,SAD,gpt-4o
330,SAD,gpt-4o
331,SAD,gpt-4o
332,SAD,gpt-4o
333,HAPPY,gpt-4o
334,SAD,gpt-4o
335,SAD,gpt-4o
336,SAD,gpt-4o
337,HAPPY,gpt-4o
338,SAD,gpt-4o
339,HAPPY,gpt-4o
340,HAPPY,gpt-4o
341,HAPPY,gpt-4o
342,SAD,gpt-4o
343,SAD,gpt-4o
344,SAD,gpt-4o
345,SAD,gpt-4o
346,SAD,gpt-4o
347,SAD,gpt-4o
348,SAD,gpt-4o
349,SAD,gpt-4o
350,SAD,gpt-4o
351,HAPPY,gpt-4o
352,HAPPY,gpt-4o
